5.2 Cataracts      Use of corticosteroids may result in posterior subcapsular cataract formation.,result in is not a named entity
"*   Blood and Lymphatic System Disorders: lymphopenia   *   Gastrointestinal Disorders: pancreatitis   *   Hepatobiliary Disorders: hepatotoxicity   *   Immune System Disorders: drug hypersensitivity   *   Infections and Infestations: pneumonia, sepsis/neutropenic sepsis   *   Metabolism and Nutrition Disorders: hypomagnesemia, dehydration   *   Respiratory, thoracic and mediastinal disorders: interstitial lung disease   *   Skin and Subcutaneous Tissue Disorders: pruritus",Nutrition Disorders is not a named entity
"*   Blood and Lymphatic System Disorders: lymphopenia   *   Gastrointestinal Disorders: pancreatitis   *   Hepatobiliary Disorders: hepatotoxicity   *   Immune System Disorders: drug hypersensitivity   *   Infections and Infestations: pneumonia, sepsis/neutropenic sepsis   *   Metabolism and Nutrition Disorders: hypomagnesemia, dehydration   *   Respiratory, thoracic and mediastinal disorders: interstitial lung disease   *   Skin and Subcutaneous Tissue Disorders: pruritus",neutropenic sepsis is an adverse reaction entity
"*   Blood and Lymphatic System Disorders: lymphopenia   *   Gastrointestinal Disorders: pancreatitis   *   Hepatobiliary Disorders: hepatotoxicity   *   Immune System Disorders: drug hypersensitivity   *   Infections and Infestations: pneumonia, sepsis/neutropenic sepsis   *   Metabolism and Nutrition Disorders: hypomagnesemia, dehydration   *   Respiratory, thoracic and mediastinal disorders: interstitial lung disease   *   Skin and Subcutaneous Tissue Disorders: pruritus",": pneumonia , is not a named entity"
"*   Blood and Lymphatic System Disorders: lymphopenia   *   Gastrointestinal Disorders: pancreatitis   *   Hepatobiliary Disorders: hepatotoxicity   *   Immune System Disorders: drug hypersensitivity   *   Infections and Infestations: pneumonia, sepsis/neutropenic sepsis   *   Metabolism and Nutrition Disorders: hypomagnesemia, dehydration   *   Respiratory, thoracic and mediastinal disorders: interstitial lung disease   *   Skin and Subcutaneous Tissue Disorders: pruritus",* Blood is not a named entity
"*   Blood and Lymphatic System Disorders: lymphopenia   *   Gastrointestinal Disorders: pancreatitis   *   Hepatobiliary Disorders: hepatotoxicity   *   Immune System Disorders: drug hypersensitivity   *   Infections and Infestations: pneumonia, sepsis/neutropenic sepsis   *   Metabolism and Nutrition Disorders: hypomagnesemia, dehydration   *   Respiratory, thoracic and mediastinal disorders: interstitial lung disease   *   Skin and Subcutaneous Tissue Disorders: pruritus",Blood is not a named entity
"*   Blood and Lymphatic System Disorders: lymphopenia   *   Gastrointestinal Disorders: pancreatitis   *   Hepatobiliary Disorders: hepatotoxicity   *   Immune System Disorders: drug hypersensitivity   *   Infections and Infestations: pneumonia, sepsis/neutropenic sepsis   *   Metabolism and Nutrition Disorders: hypomagnesemia, dehydration   *   Respiratory, thoracic and mediastinal disorders: interstitial lung disease   *   Skin and Subcutaneous Tissue Disorders: pruritus",Immune is not a named entity
"*   Blood and Lymphatic System Disorders: lymphopenia   *   Gastrointestinal Disorders: pancreatitis   *   Hepatobiliary Disorders: hepatotoxicity   *   Immune System Disorders: drug hypersensitivity   *   Infections and Infestations: pneumonia, sepsis/neutropenic sepsis   *   Metabolism and Nutrition Disorders: hypomagnesemia, dehydration   *   Respiratory, thoracic and mediastinal disorders: interstitial lung disease   *   Skin and Subcutaneous Tissue Disorders: pruritus",Disorders is not a named entity
"*   Blood and Lymphatic System Disorders: lymphopenia   *   Gastrointestinal Disorders: pancreatitis   *   Hepatobiliary Disorders: hepatotoxicity   *   Immune System Disorders: drug hypersensitivity   *   Infections and Infestations: pneumonia, sepsis/neutropenic sepsis   *   Metabolism and Nutrition Disorders: hypomagnesemia, dehydration   *   Respiratory, thoracic and mediastinal disorders: interstitial lung disease   *   Skin and Subcutaneous Tissue Disorders: pruritus",lymphopenia is an adverse reaction entity
"*   Blood and Lymphatic System Disorders: lymphopenia   *   Gastrointestinal Disorders: pancreatitis   *   Hepatobiliary Disorders: hepatotoxicity   *   Immune System Disorders: drug hypersensitivity   *   Infections and Infestations: pneumonia, sepsis/neutropenic sepsis   *   Metabolism and Nutrition Disorders: hypomagnesemia, dehydration   *   Respiratory, thoracic and mediastinal disorders: interstitial lung disease   *   Skin and Subcutaneous Tissue Disorders: pruritus",hepatotoxicity is an adverse reaction entity
"*   Blood and Lymphatic System Disorders: lymphopenia   *   Gastrointestinal Disorders: pancreatitis   *   Hepatobiliary Disorders: hepatotoxicity   *   Immune System Disorders: drug hypersensitivity   *   Infections and Infestations: pneumonia, sepsis/neutropenic sepsis   *   Metabolism and Nutrition Disorders: hypomagnesemia, dehydration   *   Respiratory, thoracic and mediastinal disorders: interstitial lung disease   *   Skin and Subcutaneous Tissue Disorders: pruritus",dehydration is an adverse reaction entity
"*   Blood and Lymphatic System Disorders: lymphopenia   *   Gastrointestinal Disorders: pancreatitis   *   Hepatobiliary Disorders: hepatotoxicity   *   Immune System Disorders: drug hypersensitivity   *   Infections and Infestations: pneumonia, sepsis/neutropenic sepsis   *   Metabolism and Nutrition Disorders: hypomagnesemia, dehydration   *   Respiratory, thoracic and mediastinal disorders: interstitial lung disease   *   Skin and Subcutaneous Tissue Disorders: pruritus",hypomagnesemia is an adverse reaction entity
Dose reduction due to peripheral neuropathy was required by 3% (14/503) of patients who received HALAVEN.,peripheral neuropathy is an adverse reaction entity
Dose reduction due to peripheral neuropathy was required by 3% (14/503) of patients who received HALAVEN.,neuropathy was required is not a named entity
Patients with alanine aminotransferase or aspartate aminotransferase > 3 * ULN (upper limit of normal) experienced a higher incidence of Grade 4 neutropenia and febrile neutropenia than patients with normal aminotransferase levels.,normal aminotransferase is not a named entity
Patients with alanine aminotransferase or aspartate aminotransferase > 3 * ULN (upper limit of normal) experienced a higher incidence of Grade 4 neutropenia and febrile neutropenia than patients with normal aminotransferase levels.,febrile neutropenia is an adverse reaction entity
Patients with alanine aminotransferase or aspartate aminotransferase > 3 * ULN (upper limit of normal) experienced a higher incidence of Grade 4 neutropenia and febrile neutropenia than patients with normal aminotransferase levels.,higher is not a named entity
Patients with alanine aminotransferase or aspartate aminotransferase > 3 * ULN (upper limit of normal) experienced a higher incidence of Grade 4 neutropenia and febrile neutropenia than patients with normal aminotransferase levels.,neutropenia is an adverse reaction entity
The most common adverse reaction resulting in discontinuation of HALAVEN was peripheral neuropathy (5%).,common adverse reaction is not a named entity
The most common adverse reaction resulting in discontinuation of HALAVEN was peripheral neuropathy (5%).,peripheral neuropathy is an adverse reaction entity
"In addition, because ILARIS may interfere with normal immune response to new antigens, vaccinations may not be effective in patients receiving ILARIS.",interfere with normal immune response is an adverse reaction entity
"In addition, because ILARIS may interfere with normal immune response to new antigens, vaccinations may not be effective in patients receiving ILARIS.","new antigens , is not a named entity"
"The most commonly reported adverse reactions associated with ILARIS treatment in the CAPS patients were nasopharyngitis, diarrhea, influenza, headache, and nausea.",ILARIS treatment is not a named entity
"The most commonly reported adverse reactions associated with ILARIS treatment in the CAPS patients were nasopharyngitis, diarrhea, influenza, headache, and nausea.",nausea is an adverse reaction entity
"The most commonly reported adverse reactions associated with ILARIS treatment in the CAPS patients were nasopharyngitis, diarrhea, influenza, headache, and nausea.",headache is an adverse reaction entity
"The most commonly reported adverse reactions associated with ILARIS treatment in the CAPS patients were nasopharyngitis, diarrhea, influenza, headache, and nausea.",influenza is an adverse reaction entity
"The most commonly reported adverse reactions associated with ILARIS treatment in the CAPS patients were nasopharyngitis, diarrhea, influenza, headache, and nausea.",", headache is not a named entity"
"The most commonly reported adverse reactions associated with ILARIS treatment in the CAPS patients were nasopharyngitis, diarrhea, influenza, headache, and nausea.",diarrhea is an adverse reaction entity
"The most commonly reported adverse reactions associated with ILARIS treatment in the CAPS patients were nasopharyngitis, diarrhea, influenza, headache, and nausea.",treatment in the is not a named entity
"The most commonly reported adverse reactions associated with ILARIS treatment in the CAPS patients were nasopharyngitis, diarrhea, influenza, headache, and nausea.",nasopharyngitis is an adverse reaction entity
"The most commonly reported adverse reactions associated with ILARIS treatment in the CAPS patients were nasopharyngitis, diarrhea, influenza, headache, and nausea.",treatment is not a named entity
"The most commonly reported adverse reactions associated with ILARIS treatment in the CAPS patients were nasopharyngitis, diarrhea, influenza, headache, and nausea.",patients were is not a named entity
(  5.4  )             5.1     Serious Infections      ILARIS has been associated with an increased risk of serious infections.,with an is not a named entity
(  5.4  )             5.1     Serious Infections      ILARIS has been associated with an increased risk of serious infections.,infections is an adverse reaction entity
Hepatic Transaminases       Elevations of transaminases have been observed in patients treated with ILARIS.,Elevations of transaminases is an adverse reaction entity
Hepatic Transaminases       Elevations of transaminases have been observed in patients treated with ILARIS.,Transaminases Elevations of is not a named entity
"Based on the clinical trial experience, ILARIS does not appear to increase the incidence of MAS in SJIA patients, but no definitive conclusion can be made.",MAS is an adverse reaction entity
"Based on the clinical trial experience, ILARIS does not appear to increase the incidence of MAS in SJIA patients, but no definitive conclusion can be made.",clinical trial is not a named entity
"However, treatment with immunosuppressants, including ILARIS, may result in an increase in the risk of malignancies.",malignancies is an adverse reaction entity
"However, treatment with immunosuppressants, including ILARIS, may result in an increase in the risk of malignancies.",increase is not a named entity
"The adverse drug reactions associated with ILARIS treatment in SJIA patients were infections, abdominal pain, and injection site reactions.",in SJIA is not a named entity
"The adverse drug reactions associated with ILARIS treatment in SJIA patients were infections, abdominal pain, and injection site reactions.",treatment in is not a named entity
"The adverse drug reactions associated with ILARIS treatment in SJIA patients were infections, abdominal pain, and injection site reactions.",injection site reactions is an adverse reaction entity
"The adverse drug reactions associated with ILARIS treatment in SJIA patients were infections, abdominal pain, and injection site reactions.",infections is an adverse reaction entity
"The adverse drug reactions associated with ILARIS treatment in SJIA patients were infections, abdominal pain, and injection site reactions.",treatment is not a named entity
"The adverse drug reactions associated with ILARIS treatment in SJIA patients were infections, abdominal pain, and injection site reactions.",abdominal pain is an adverse reaction entity
"Infections, predominantly of the upper respiratory tract, in some instances serious, have been reported with ILARIS.",", is not a named entity"
"Infections, predominantly of the upper respiratory tract, in some instances serious, have been reported with ILARIS.",Infections is an adverse reaction entity
"Infections, predominantly of the upper respiratory tract, in some instances serious, have been reported with ILARIS.",ILARIS is not a named entity
"Infections, predominantly of the upper respiratory tract, in some instances serious, have been reported with ILARIS.",", have is not a named entity"
"Infections, predominantly of the upper respiratory tract, in some instances serious, have been reported with ILARIS.",Infections of the upper respiratory tract is an adverse reaction entity
"Infections, predominantly of the upper respiratory tract, in some instances serious, have been reported with ILARIS.",Infections is an adverse reaction entity
"Infections, predominantly of the upper respiratory tract, in some instances serious, have been reported with ILARIS.",Infections of the upper respiratory tract is an adverse reaction entity
"Infections, predominantly of the upper respiratory tract, in some instances serious, have been reported with ILARIS.",in some is not a named entity
Eleven cases of MAS were observed in 201 SJIA patients treated with canakinumab in clinical trials.,SJIA patients is not a named entity
Eleven cases of MAS were observed in 201 SJIA patients treated with canakinumab in clinical trials.,MAS is an adverse reaction entity
Mild (less than LLN and greater than 75x10  9  /L) and transient decreases in platelet counts were observed in 3 (6.3%) ILARIS treated patients versus 1 (2.0%) placebo-treated patient.,( 2.0 is not a named entity
Mild (less than LLN and greater than 75x10  9  /L) and transient decreases in platelet counts were observed in 3 (6.3%) ILARIS treated patients versus 1 (2.0%) placebo-treated patient.,decreases in platelet counts is an adverse reaction entity
"(  6  )       SJIA:  The most common adverse drug reactions greater than 10% reported by patients with SJIA treated with ILARIS are infections (nasopharyngitis and upper respiratory tract infections), abdominal pain and injection site reactions.",tract infections ) is not a named entity
"(  6  )       SJIA:  The most common adverse drug reactions greater than 10% reported by patients with SJIA treated with ILARIS are infections (nasopharyngitis and upper respiratory tract infections), abdominal pain and injection site reactions.",injection site reactions is an adverse reaction entity
"(  6  )       SJIA:  The most common adverse drug reactions greater than 10% reported by patients with SJIA treated with ILARIS are infections (nasopharyngitis and upper respiratory tract infections), abdominal pain and injection site reactions.",greater than is not a named entity
"(  6  )       SJIA:  The most common adverse drug reactions greater than 10% reported by patients with SJIA treated with ILARIS are infections (nasopharyngitis and upper respiratory tract infections), abdominal pain and injection site reactions.",reactions greater is not a named entity
"(  6  )       SJIA:  The most common adverse drug reactions greater than 10% reported by patients with SJIA treated with ILARIS are infections (nasopharyngitis and upper respiratory tract infections), abdominal pain and injection site reactions.",site is not a named entity
"(  6  )       SJIA:  The most common adverse drug reactions greater than 10% reported by patients with SJIA treated with ILARIS are infections (nasopharyngitis and upper respiratory tract infections), abdominal pain and injection site reactions.",nasopharyngitis is an adverse reaction entity
"(  6  )       SJIA:  The most common adverse drug reactions greater than 10% reported by patients with SJIA treated with ILARIS are infections (nasopharyngitis and upper respiratory tract infections), abdominal pain and injection site reactions.",drug reactions greater is not a named entity
"(  6  )       SJIA:  The most common adverse drug reactions greater than 10% reported by patients with SJIA treated with ILARIS are infections (nasopharyngitis and upper respiratory tract infections), abdominal pain and injection site reactions.",abdominal pain is an adverse reaction entity
"(  6  )       SJIA:  The most common adverse drug reactions greater than 10% reported by patients with SJIA treated with ILARIS are infections (nasopharyngitis and upper respiratory tract infections), abdominal pain and injection site reactions.",infections is an adverse reaction entity
"(  6  )       SJIA:  The most common adverse drug reactions greater than 10% reported by patients with SJIA treated with ILARIS are infections (nasopharyngitis and upper respiratory tract infections), abdominal pain and injection site reactions.",upper respiratory tract infections is an adverse reaction entity
It is possible that use of IL-1 inhibitors such as ILARIS increases the risk of reactivation of tuberculosis or of opportunistic infections.,ILARIS increases is not a named entity
It is possible that use of IL-1 inhibitors such as ILARIS increases the risk of reactivation of tuberculosis or of opportunistic infections.,opportunistic infections is an adverse reaction entity
It is possible that use of IL-1 inhibitors such as ILARIS increases the risk of reactivation of tuberculosis or of opportunistic infections.,reactivation of tuberculosis is an adverse reaction entity
It is possible that use of IL-1 inhibitors such as ILARIS increases the risk of reactivation of tuberculosis or of opportunistic infections.,the is not a named entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",infections is an adverse reaction entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",", is not a named entity"
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",0.02 to 0.17 is not a named entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",adenovirus is an adverse reaction entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",measles is an adverse reaction entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",pharyngitis is an adverse reaction entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",", measles is not a named entity"
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",", measles is not a named entity"
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",sinusitis is an adverse reaction entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",) were is not a named entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",lymph node abscess is an adverse reaction entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",varicella is an adverse reaction entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",sepsis is an adverse reaction entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",in approximately is not a named entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",in is not a named entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",gastroenteritis is an adverse reaction entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",pneumonia is an adverse reaction entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",to 0.17 per is not a named entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",node is not a named entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",otitis media is an adverse reaction entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",0.02 to is not a named entity
"Serious infections (e.g., pneumonia, varicella, gastroenteritis, measles, sepsis, otitis media, sinusitis, adenovirus, lymph node abscess, pharyngitis) were observed in approximately 4% to 5% (0.02 to 0.17 per 100 patient-days) of patients receiving ILARIS in both studies.",", measles , is not a named entity"
An increased incidence of serious infections has been associated with administration of another IL-1 blocker in combination with TNF inhibitors.,with TNF inhibitors is not a named entity
An increased incidence of serious infections has been associated with administration of another IL-1 blocker in combination with TNF inhibitors.,infections is an adverse reaction entity
Opportunistic infections have also been reported in patients treated with ILARIS  [see Warnings and Precautions (5.1)]  .,Opportunistic infections is an adverse reaction entity
Opportunistic infections have also been reported in patients treated with ILARIS  [see Warnings and Precautions (5.1)]  .,and is not a named entity
"Injection Site Reactions       In CAPS Study 1, subcutaneous injection site reactions were observed in 9% of patients in Part 1 with mild tolerability reactions; in Part 2, one patient each (7%) had a mild or a moderate tolerability reaction and, in Part 3, one patient had a mild local tolerability reaction.",subcutaneous injection site reactions is an adverse reaction entity
"Injection Site Reactions       In CAPS Study 1, subcutaneous injection site reactions were observed in 9% of patients in Part 1 with mild tolerability reactions; in Part 2, one patient each (7%) had a mild or a moderate tolerability reaction and, in Part 3, one patient had a mild local tolerability reaction.",Study 1 is not a named entity
"Injection Site Reactions       In CAPS Study 1, subcutaneous injection site reactions were observed in 9% of patients in Part 1 with mild tolerability reactions; in Part 2, one patient each (7%) had a mild or a moderate tolerability reaction and, in Part 3, one patient had a mild local tolerability reaction.",tolerability is not a named entity
"Injection Site Reactions       In CAPS Study 1, subcutaneous injection site reactions were observed in 9% of patients in Part 1 with mild tolerability reactions; in Part 2, one patient each (7%) had a mild or a moderate tolerability reaction and, in Part 3, one patient had a mild local tolerability reaction.",local tolerability reaction is an adverse reaction entity
"In the randomized, placebo-controlled portion of SJIA Study 2 decreased white blood cell counts (WBC) less than or equal to 0.8 times lower limit of normal (LLN) were reported in 5 patients (10.4%)in the ILARIS group compared to 2 (4.0%) in the placebo group.",decreased WBC is an adverse reaction entity
"In the randomized, placebo-controlled portion of SJIA Study 2 decreased white blood cell counts (WBC) less than or equal to 0.8 times lower limit of normal (LLN) were reported in 5 patients (10.4%)in the ILARIS group compared to 2 (4.0%) in the placebo group.","randomized , placebo-controlled is not a named entity"
"In the randomized, placebo-controlled portion of SJIA Study 2 decreased white blood cell counts (WBC) less than or equal to 0.8 times lower limit of normal (LLN) were reported in 5 patients (10.4%)in the ILARIS group compared to 2 (4.0%) in the placebo group.",decreased white blood cell counts is an adverse reaction entity
"In the randomized, placebo-controlled portion of SJIA Study 2 decreased white blood cell counts (WBC) less than or equal to 0.8 times lower limit of normal (LLN) were reported in 5 patients (10.4%)in the ILARIS group compared to 2 (4.0%) in the placebo group.",LLN ) were is not a named entity
In CAPS trials one patient discontinued and in SJIA trials no patients discontinued due to hypersensitivity reactions.,one patient discontinued is not a named entity
In CAPS trials one patient discontinued and in SJIA trials no patients discontinued due to hypersensitivity reactions.,hypersensitivity reactions is an adverse reaction entity
Bilirubin       Asymptomatic and mild elevations of serum bilirubin have been observed in patients treated with ILARIS without concomitant elevations of transaminases.,serum is not a named entity
Bilirubin       Asymptomatic and mild elevations of serum bilirubin have been observed in patients treated with ILARIS without concomitant elevations of transaminases.,elevations of serum bilirubin is an adverse reaction entity
Bilirubin       Asymptomatic and mild elevations of serum bilirubin have been observed in patients treated with ILARIS without concomitant elevations of transaminases.,without is not a named entity
Bilirubin       Asymptomatic and mild elevations of serum bilirubin have been observed in patients treated with ILARIS without concomitant elevations of transaminases.,elevations of transaminases is an adverse reaction entity
One case of ANC less than 0.5x10  9  /L was observed in the ILARIS group and none in the placebo group.,and none is not a named entity
One case of ANC less than 0.5x10  9  /L was observed in the ILARIS group and none in the placebo group.,ANC less than 0.5x10 9 /L is an adverse reaction entity
"Among these were vertigo (2 patients), infections (3 patients), including intra-abdominal abscess following appendectomy (1 patient).",vertigo is an adverse reaction entity
"Among these were vertigo (2 patients), infections (3 patients), including intra-abdominal abscess following appendectomy (1 patient).",intra-abdominal abscess is an adverse reaction entity
"Among these were vertigo (2 patients), infections (3 patients), including intra-abdominal abscess following appendectomy (1 patient).",appendectomy ( 1 is not a named entity
"Among these were vertigo (2 patients), infections (3 patients), including intra-abdominal abscess following appendectomy (1 patient).",infections ( 3 is not a named entity
"Among these were vertigo (2 patients), infections (3 patients), including intra-abdominal abscess following appendectomy (1 patient).",infections is an adverse reaction entity
"Among these were vertigo (2 patients), infections (3 patients), including intra-abdominal abscess following appendectomy (1 patient).",Among these is not a named entity
Patients experiencing seizure were permanently discontinued from therapy and all seizure events resolved.,seizure is an adverse reaction entity
Patients experiencing seizure were permanently discontinued from therapy and all seizure events resolved.,seizure is not a named entity
Grade 1-4 elevations in ALT occurred in 10% of patients treated with XTANDI (0.2% Grade 3-4) and 16% of patients treated with placebo (0.2% Grade 3-4).,treated is not a named entity
Grade 1-4 elevations in ALT occurred in 10% of patients treated with XTANDI (0.2% Grade 3-4) and 16% of patients treated with placebo (0.2% Grade 3-4).,elevations in ALT is an adverse reaction entity
Grade 1-4 elevations in ALT occurred in 10% of patients treated with XTANDI (0.2% Grade 3-4) and 16% of patients treated with placebo (0.2% Grade 3-4).,elevations in ALT is an adverse reaction entity
Grade 1-4 elevations in ALT occurred in 10% of patients treated with XTANDI (0.2% Grade 3-4) and 16% of patients treated with placebo (0.2% Grade 3-4).,in is not a named entity
Grade 1-4 elevations in ALT occurred in 10% of patients treated with XTANDI (0.2% Grade 3-4) and 16% of patients treated with placebo (0.2% Grade 3-4).,Grade 3-4 ) is not a named entity
Grade 1-4 elevations in ALT occurred in 10% of patients treated with XTANDI (0.2% Grade 3-4) and 16% of patients treated with placebo (0.2% Grade 3-4).,elevations in ALT is an adverse reaction entity
"Laboratory Abnormalities  In the two randomized clinical trials, Grade 1-4 neutropenia occurred in 15% of patients treated with XTANDI (1% Grade 3-4) and in 6% of patients treated with placebo (0.5% Grade 3-4).",neutropenia is an adverse reaction entity
"Laboratory Abnormalities  In the two randomized clinical trials, Grade 1-4 neutropenia occurred in 15% of patients treated with XTANDI (1% Grade 3-4) and in 6% of patients treated with placebo (0.5% Grade 3-4).",neutropenia is an adverse reaction entity
"Laboratory Abnormalities  In the two randomized clinical trials, Grade 1-4 neutropenia occurred in 15% of patients treated with XTANDI (1% Grade 3-4) and in 6% of patients treated with placebo (0.5% Grade 3-4).",% of patients is not a named entity
"Laboratory Abnormalities  In the two randomized clinical trials, Grade 1-4 neutropenia occurred in 15% of patients treated with XTANDI (1% Grade 3-4) and in 6% of patients treated with placebo (0.5% Grade 3-4).",3-4 is not a named entity
"Laboratory Abnormalities  In the two randomized clinical trials, Grade 1-4 neutropenia occurred in 15% of patients treated with XTANDI (1% Grade 3-4) and in 6% of patients treated with placebo (0.5% Grade 3-4).",neutropenia is an adverse reaction entity
"Laboratory Abnormalities  In the two randomized clinical trials, Grade 1-4 neutropenia occurred in 15% of patients treated with XTANDI (1% Grade 3-4) and in 6% of patients treated with placebo (0.5% Grade 3-4).",neutropenia occurred in is not a named entity
"Fall-related injuries were more severe in patients treated with XTANDI and included non-pathologic fractures, joint injuries, and hematomas.","joint injuries , is not a named entity"
"Fall-related injuries were more severe in patients treated with XTANDI and included non-pathologic fractures, joint injuries, and hematomas.",Fall-related injuries is an adverse reaction entity
"Fall-related injuries were more severe in patients treated with XTANDI and included non-pathologic fractures, joint injuries, and hematomas.",joint injuries is an adverse reaction entity
"Fall-related injuries were more severe in patients treated with XTANDI and included non-pathologic fractures, joint injuries, and hematomas.",with XTANDI and is not a named entity
"Fall-related injuries were more severe in patients treated with XTANDI and included non-pathologic fractures, joint injuries, and hematomas.",", is not a named entity"
"Fall-related injuries were more severe in patients treated with XTANDI and included non-pathologic fractures, joint injuries, and hematomas.",hematomas is an adverse reaction entity
"Fall-related injuries were more severe in patients treated with XTANDI and included non-pathologic fractures, joint injuries, and hematomas.",non-pathologic fractures is an adverse reaction entity
"Fall-related injuries were more severe in patients treated with XTANDI and included non-pathologic fractures, joint injuries, and hematomas.","non-pathologic fractures , is not a named entity"
"The most common adverse reaction leading to treatment discontinuation was fatigue/asthenia, which occurred in 1% of patients on each treatment arm.",fatigue is an adverse reaction entity
"The most common adverse reaction leading to treatment discontinuation was fatigue/asthenia, which occurred in 1% of patients on each treatment arm.",asthenia is an adverse reaction entity
